brand,asin,title,price,list_price,discount_pct,rating,review_count
Safari,B0F9FMQZWN,Safari,2099,8999,77,4.0,639
Safari,B097JK62G2,Safari,2099,7140,71,4.1,6610
Safari,B0FLYJD912,Safari,2999,15998,81,4.0,4954
Safari,B097GR45SS,Safari,2299,10999,79,4.2,3902
Safari,B0FLYGLKYQ,Safari,4449,27997,84,4.0,1550
Safari,B097BH338H,Safari,1699,8999,81,4.2,5107
Safari,B097BGX7TV,Safari,2299,10999,79,4.2,11332
Safari,B097BG6DX1,Safari,1699,8999,81,4.2,17956
Safari,B0F67F6BBZ,Safari,2499,11999,79,4.0,10820
Safari,B0FLYFYT23,Safari,4449,27997,84,4.0,7752
Safari,B097JLP1SV,Safari,2499,9800,74,4.0,10895
Safari,B097BHHCLF,Safari,1699,8999,81,4.2,9443
Safari,B0F67HPZBR,Safari,2499,11999,79,4.0,8300
Skybags,B07Z9WGXZD,Skybags,2749,7790,65,4.2,13927
Skybags,B0C8ZD8KNP,Skybags,2699,9100,70,4.2,12702
Skybags,B0FPXMYQZY,Aristocrat,5609,25880,78,4.1,4380
Skybags,B0C8YWY72M,Aristocrat,2699,11240,76,4.2,1321
Skybags,B0C8ZY4579,Skybags,1624,4450,64,4.1,5887
Skybags,B07HCRSLFY,Skybags,3099,9050,66,4.2,9234
Skybags,B073JSGMRS,Skybags,1089,4620,76,4.2,1412
Skybags,B0CPSW5WJ5,Skybags,1699,7060,76,4.4,14905
Skybags,B0DDLDXT8N,N/A,6339,19998,68,4.1,4710
Skybags,B0FFBBFSY3,Skybags,2249,7500,70,4.2,14789
Skybags,B0CPSSB4BN,Skybags,1699,7060,76,4.4,6875
Skybags,B0FQ2W6RPW,Skybags,2342,6940,66,4.1,6238
American Tourister,B0FPXMN9MP,Aristocrat,2609,10600,75,4.1,14212
American Tourister,B0D3B4J8TD,RP MALL,295,999,70,3.7,7747
American Tourister,B0DSBTYHMV,American Tourister,8137,10850,25,3.8,16577
American Tourister,B09RPLYFXJ,American Tourister,2549,8490,70,4.2,7727
American Tourister,B07Z3YX83T,American Tourister,2549,8490,70,4.2,4747
American Tourister,B0F5HLTS84,American Tourister,3799,9800,61,4.1,2013
American Tourister,B0CHRL351K,American Tourister,3399,4800,29,4.5,10343
American Tourister,B0D633NS5R,Kamiliant,2399,12200,80,4.1,17395
American Tourister,B0F5HMQ99S,American Tourister,3499,9950,65,4.2,12606
American Tourister,B0F5HMW1M2,American Tourister,3299,8600,62,4.1,8751
American Tourister,B0F5HNW8D1,American Tourister,3299,8600,62,4.1,13883
American Tourister,B0BTHN42H6,American Tourister,1049,3500,70,3.9,2084
American Tourister,B0F5HLY8ND,American Tourister,5299,14600,64,4.1,12060
VIP,B0D6359Y1W,Kamiliant,3499,17050,79,4.1,9662
VIP,B0FPXLWCNQ,Aristocrat,3269,15280,79,4.1,11836
VIP,B0D9XZBSPN,MOKOBARA,7999,13999,43,4.4,13404
VIP,B0DD3W11L4,N/A,2199,9900,78,4.2,6710
VIP,B0CBTZP3CL,N/A,3099,14990,79,3.7,2393
VIP,B0D4RCWTTZ,N/A,2399,9000,73,4.2,9797
VIP,B0D4S1FHLD,Aristocrat,2099,12920,84,4.1,13022
VIP,B0D4RD23TM,N/A,3270,12600,74,4.2,12104
VIP,B0FC6QHR4T,Aristocrat,1439,7990,82,4.1,16002
VIP,B0FC6QNCS8,Aristocrat,2379,14590,84,4.1,6484
Aristocrat,B0FPXH2SP9,Aristocrat,2049,8490,76,4.1,17596
Aristocrat,B0FC6NNC9N,Aristocrat,1879,10890,83,4.1,4955
Aristocrat,B0C1K4F8NN,Aristocrat,2609,11240,77,4.3,10480
Aristocrat,B0FMF3SLPK,Aristocrat,1499,6250,76,4.2,12739
Aristocrat,B0FMF1QMKX,Aristocrat,4499,24775,82,4.2,6536
Aristocrat,B0FC6L8H6G,Aristocrat,3149,18880,83,4.1,8600
Aristocrat,B0D4RBM6Q6,Aristocrat,1599,7500,79,4.1,6706
Aristocrat,B0DG2CJQCW,Aristocrat,1499,7700,81,4.1,8425
Aristocrat,B0FPXLHK8Y,Aristocrat,5609,25880,78,4.1,4441
Aristocrat,B0BRN1XLSS,Aristocrat,1999,10000,80,4.1,4534
Aristocrat,B0FC6PGW54,Aristocrat,5399,33470,84,4.1,14521
Nasher Miles,B09GKK2X39,Nasher Miles,3599,17995,80,4.2,16447
Nasher Miles,B0CVS8HTZV,Nasher Miles,3449,17995,81,4.2,12384
Nasher Miles,B0CVSGRTTY,Nasher Miles,2879,15995,82,3.7,8003
Nasher Miles,B0CGTXDN9N,Nasher Miles,3229,17995,82,4.2,2475
Nasher Miles,B0D9MCK8K4,Nasher Miles,3099,18995,84,3.9,4926
Nasher Miles,B0CVS1WZ1C,Nasher Miles,3499,17995,81,4.2,7266
Nasher Miles,B0D9VV7G4Z,Nasher Miles,3499,17995,81,4.2,14984
Nasher Miles,B09G715R22,Nasher Miles,2796,15995,83,4.2,3484
Nasher Miles,B0CGTVMZBX,Nasher Miles,2999,15995,81,4.2,5234
Nasher Miles,B0D47KQ81Z,Nasher Miles,2799,16995,84,3.7,5181
Nasher Miles,B09G6ZFJPX,Nasher Miles,3499,17995,81,4.2,6221
Nasher Miles,B0CGTX3Z86,Nasher Miles,2599,13995,81,4.2,16653
Nasher Miles,B0BFJ7QC21,Nasher Miles,2699,13995,81,4.2,13625
Nasher Miles,B0D6BS5BGY,Nasher Miles,3699,16995,78,4.4,6157
